city_A;city_B;POP_A;POP_B;distance;border_DUM;FR_con;FR_int;EN_con;EN_int;col_en;col_fr;col_prop_fr;col_prop_en;fr_en_prop;en_fr_prop
Paris;London;9591;8256;342.7198407546638;1;1;0;1;0;21874.0;10733.0;1.7872382232191104;2.09581377630115;0.8527657578305277;1.1726549651149718
Paris;Madrid;9591;4955;1047.1055206294939;1;1;0;0;0;3394.0;2404.0;0.4003093905356136;0.3251893552512619;1.2310039799006003;0.8123450584463154
Paris;Berlin;9591;3776;879.8359161720159;1;1;0;0;0;7899.0;4723.0;0.7864647468800762;0.7568269643870708;1.0391605794820062;0.9623151799103785
Paris;Milan;9591;3698;640.6851614937534;1;1;0;0;0;3342.0;2713.0;0.4517634677716804;0.3202070787418142;1.4108478474204542;0.7087936532832833
Paris;Barcelona;9591;3659;827.8137779207144;1;1;0;0;0;2397.0;1696.0;0.2824146116257906;0.2296637844835813;1.2296871805923781;0.8132149507472862
Paris;Athens;9591;3331;2096.025767399245;1;1;0;0;0;1249.0;957.0;0.15935777318743022;0.11967044923654278;1.3316384638319587;0.7509545775077516
Paris;Rome;9591;2532;1108.9507629766335;1;1;0;0;0;6821.0;6116.0;1.018424389565646;0.6535405398258273;1.5583186160678917;0.6417172904751032
Paris;Birmingham;9591;2363;501.09555433608364;1;1;0;1;0;525.0;171.0;0.028474586431609786;0.05030183014346274;0.5660745613111725;1.7665517377847644
Paris;Lisbon;9591;2315;1444.5355010595267;1;1;0;0;0;1071.0;807.0;0.13438006579128128;0.10261573349266398;1.3095464137659567;0.7636231824149158
Paris;Naples;9591;2308;1293.5638262275543;1;1;0;0;0;1180.0;979.0;0.16302117027219873;0.11305935156054481;1.4419078830900485;0.6935255793573806
Paris;Katowice;9591;2279;1214.1657669687584;1;1;0;0;0;58.0;27.0;0.004495987331306808;0.0055571545682301686;0.809044858498273;1.2360254063738476
Paris;Manchester;9591;2207;602.7402785635741;1;1;0;1;0;972.0;401.0;0.0667737377723715;0.09313024552275385;0.7169930391309571;1.3947136798037343
Paris;Hamburg;9591;2123;746.4175879832528;1;1;0;0;0;1328.0;792.0;0.13188229505166638;0.12723967701051145;1.0364871881965827;0.9647972607745707
Paris;Budapest;9591;2123;1251.2766816267986;1;1;0;0;0;1181.0;827.0;0.13771042677743447;0.11315516457034189;1.2170052272941376;0.8216891575916874
Paris;Bucharest;9591;2064;1873.8199324775042;1;1;0;0;0;916.0;549.0;0.0914184090699051;0.08776471697411783;1.0416305347041084;0.9600333003717731
Paris;Warsaw;9591;2004;1369.6254099481762;1;1;0;0;0;1552.0;1019.0;0.1696818922445051;0.14870179120505556;1.1410884217966049;0.8763562760767777
Paris;Stuttgart;9591;1735;501.98684840927666;1;1;0;0;0;700.0;430.0;0.07160276120229361;0.06706910685795031;1.0675967603675625;0.9366832470114562
Paris;Vienna;9591;1674;1037.5399224643531;1;1;0;0;0;5275.0;4115.0;0.6852217729010192;0.5054136266795541;1.3557643417783594;0.7375913122838867
Paris;Munich;9591;1647;686.9098043812573;1;1;0;0;0;3075.0;1861.0;0.30989008976155447;0.294625005125996;1.0518119113108895;0.9507403265225286
Paris;Brussels;9591;1498;263.92485460488683;1;1;1;0;0;4461.0;5860.0;0.9757957689428852;0.42742183670473766;2.282980618084245;0.4380238676047747
Paris;Stockholm;9591;1479;1542.4656807881126;1;1;0;0;0;1581.0;912.0;0.15186446096858555;0.15148036848917062;1.0025355924549548;0.9974708205134685
Paris;Frankfurt;9591;1462;479.6920497130541;1;1;0;0;0;1616.0;1031.0;0.17168010883619703;0.15483382383206815;1.1088023571800452;0.901873984596537
Paris;Cologne;9591;1398;403.86011642768983;1;1;0;0;0;1125.0;840.0;0.13987516141843404;0.10778963602170587;1.2976680001987113;0.7706131305132519
Paris;Copenhagen;9591;1360;1028.6104264210312;1;1;0;0;0;1504.0;618.0;0.10290815447213363;0.1441027667347961;0.7141303168836707;1.400304645185504
Paris;Valencia;9591;1318;1062.6061072976995;1;1;0;0;0;358.0;704.0;0.11722870671259235;0.03430105750735173;3.417641181688546;0.29259947046457707
Paris;Turin;9591;1309;584.7779115338196;1;1;0;0;0;925.0;1019.0;0.1696818922445051;0.08862703406229148;1.9145613304090063;0.5223128578421516
Paris;Glasgow;9591;1228;892.5905347788245;1;1;0;1;0;682.0;251.0;0.04179603037622255;0.06534447268160302;0.63962610242304;1.5634133694853711
Paris;Prague;9591;1175;884.6548155058697;1;1;0;0;0;1649.0;963.0;0.16035688148327618;0.15799565315537153;1.0149448942470753;0.9852751668274936
Paris;Lyon;9591;1175;392.09225880229394;0;1;1;0;0;3582.0;12977.0;2.1609047258654983;0.3432022010931115;6.296302060368314;0.1588233840136798
Paris;Sofia;9591;1174;1760.6204970583835;1;1;0;0;0;511.0;305.0;0.050788005038836175;0.04896044800630373;1.0373272122080488;0.964015971268512
Paris;Liverpool;9591;1170;625.7773132264347;1;1;0;1;0;649.0;214.0;0.03563486255183915;0.06218264335829966;0.5730676701295762;1.7449946177802882
Paris;Porto;9591;1163;1207.7157237368215;1;1;0;0;0;312.0;366.0;0.06094560604660341;0.029893659056686426;2.0387469439935115;0.4904973630720413
